OrderDate,Category,City,Country,CustomerName,Discount,OrderID,PostalCode,ProductName,Profit,Quantity,Region,Sales,Segment,ShipDate,ShipMode,State,Sub_Category,DaystoShipActual,SalesForecast,ShipStatus,DaystoShipScheduled,OrderProfitable,SalesperCustomer,ProfitRatio,SalesaboveTarget,latitude,longitude,ShippingDelay,OrderMonth,OrderYear
2011-01-21,Furniture,Jonesboro,United States,Hunter Lopez,0.0,US-2011-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,224,3,South,1068,Consumer,2011-01-27,Standard Class,Arkansas,Chairs,6,1399,Shipped On Time,6,,1067.94,0.20973782771535582,,35.833,-90.6965,0,1,2011
2011-01-21,Furniture,Los Angeles,United States,Mark Van Huff,0.0,CA-2011-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",6,2,West,19,Consumer,2011-01-26,Standard Class,California,Furnishings,5,25,Shipped Early,6,,19.3,0.3157894736842105,,34.066,-118.474,-1,1,2011
2011-01-21,Furniture,Westland,United States,Xylona Preis,0.0,CA-2011-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,30,3,Central,273,Consumer,2011-01-27,Standard Class,Michigan,Furnishings,6,358,Shipped On Time,6,,272.94,0.10989010989010989,,42.3358,-83.3846,0,1,2011
2011-01-21,Furniture,Westland,United States,Xylona Preis,0.0,CA-2011-167927,48185,Ultra Door Push Plate,5,3,Central,15,Consumer,2011-01-27,Standard Class,Michigan,Furnishings,6,19,Shipped On Time,6,,14.73,0.3333333333333333,,42.3358,-83.3846,0,1,2011
2011-01-21,Office Supplies,Jonesboro,United States,Hunter Lopez,0.0,US-2011-147627,72401,Newell 327,2,3,South,7,Consumer,2011-01-27,Standard Class,Arkansas,Art,6,9,Shipped On Time,6,,6.63,0.2857142857142857,,35.833,-90.6965,0,1,2011
2011-01-21,Office Supplies,Jonesboro,United States,Hunter Lopez,0.0,US-2011-147627,72401,Newell 351,7,7,South,23,Consumer,2011-01-27,Standard Class,Arkansas,Art,6,30,Shipped On Time,6,,22.96,0.30434782608695654,,35.833,-90.6965,0,1,2011
2011-01-21,Office Supplies,Jonesboro,United States,Hunter Lopez,0.0,US-2011-147627,72401,Staples,11,3,South,23,Consumer,2011-01-27,Standard Class,Arkansas,Envelopes,6,31,Shipped On Time,6,,23.34,0.4782608695652174,,35.833,-90.6965,0,1,2011
2011-01-21,Office Supplies,Los Angeles,United States,Mark Van Huff,0.0,CA-2011-148614,90049,"Wirebound Service Call Books, 5 1/2 x 4",9,2,West,19,Consumer,2011-01-26,Standard Class,California,Paper,5,25,Shipped Early,6,,19.36,0.47368421052631576,,34.066,-118.474,-1,1,2011
2011-01-21,Office Supplies,Smyrna,United States,Muhammed MacIntyre,0.7,US-2011-147774,37167,GBC DocuBind TL200 Manual Binding Machine,-52,1,South,67,Corporate,2011-01-27,Standard Class,Tennessee,Binders,6,88,Shipped On Time,6,,67.19,-0.7761194029850746,,35.9656,-86.5048,0,1,2011
2011-01-21,Office Supplies,Westland,United States,Xylona Preis,0.0,CA-2011-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2 x 11, Executive Red",9,5,Central,19,Consumer,2011-01-27,Standard Class,Michigan,Binders,6,25,Shipped On Time,6,,19.05,0.47368421052631576,,42.3358,-83.3846,0,1,2011
2011-01-21,Office Supplies,Westland,United States,Xylona Preis,0.0,CA-2011-167927,48185,Eldon Fold N Roll Cart System,4,1,Central,14,Consumer,2011-01-27,Standard Class,Michigan,Storage,6,18,Shipped On Time,6,,13.98,0.2857142857142857,,42.3358,-83.3846,0,1,2011
2011-01-21,Office Supplies,Westland,United States,Xylona Preis,0.0,CA-2011-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,16,2,Central,67,Consumer,2011-01-27,Standard Class,Michigan,Storage,6,87,Shipped On Time,6,,66.58,0.23880597014925373,,42.3358,-83.3846,0,1,2011
2011-01-21,Office Supplies,Westland,United States,Xylona Preis,0.1,CA-2011-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",94,4,Central,248,Consumer,2011-01-27,Standard Class,Michigan,Appliances,6,325,Shipped On Time,6,,247.72,0.3790322580645161,,42.3358,-83.3846,0,1,2011
2011-01-21,Office Supplies,Westland,United States,Xylona Preis,0.0,CA-2011-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,13,3,Central,44,Consumer,2011-01-27,Standard Class,Michigan,Art,6,58,Shipped On Time,6,,43.92,0.29545454545454547,,42.3358,-83.3846,0,1,2011
2011-01-21,Office Supplies,Westland,United States,Xylona Preis,0.0,CA-2011-167927,48185,Storex Dura Pro Binders,13,5,Central,30,Consumer,2011-01-27,Standard Class,Michigan,Binders,6,39,Shipped On Time,6,,29.7,0.43333333333333335,,42.3358,-83.3846,0,1,2011
2011-01-21,Technology,Jonesboro,United States,Hunter Lopez,0.0,US-2011-147627,72401,Apple iPhone 5C,182,7,South,700,Consumer,2011-01-27,Standard Class,Arkansas,Phones,6,917,Shipped On Time,6,,699.93,0.26,,35.833,-90.6965,0,1,2011
2011-01-22,Furniture,Miami,United States,Tom Boeckenhauer,0.2,CA-2011-110422,33180,Ultra Door Pull Handle,4,3,South,25,Consumer,2011-01-24,Second Class,Florida,Furnishings,2,33,Shipped Early,3,,25.25,0.16,,25.9597,-80.1403,-1,1,2011
2011-01-24,Office Supplies,Lafayette,United States,Speros Goranitis,0.0,CA-2011-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",0,3,Central,6,Consumer,2011-01-28,Standard Class,Indiana,Fasteners,4,8,Shipped Early,6,,5.94,0.0,,40.4001,-86.8602,-2,1,2011
2011-01-24,Office Supplies,Las Vegas,United States,Ionia McGrath,0.0,CA-2011-102645,89115,Xerox 195,19,6,West,40,Consumer,2011-01-29,Standard Class,Nevada,Paper,5,53,Shipped Early,6,,40.08,0.475,,36.2158,-115.0671,-1,1,2011
2011-01-27,Furniture,Alexandria,United States,Shirley Daniels,0.0,US-2011-155502,22304,Eldon Image Series Black Desk Accessories,4,3,South,12,Home Office,2011-02-01,Standard Class,Virginia,Furnishings,5,16,Shipped Early,6,,12.42,0.3333333333333333,,38.8149,-77.121,-1,1,2011
2011-01-27,Furniture,Alexandria,United States,Shirley Daniels,0.0,US-2011-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",31,3,South,63,Home Office,2011-02-01,Standard Class,Virginia,Furnishings,5,82,Shipped Early,6,,62.82,0.49206349206349204,,38.8149,-77.121,-1,1,2011
2011-01-27,Furniture,Rapid City,United States,Carol Adams,0.0,CA-2011-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",40,2,Central,142,Corporate,2011-01-30,First Class,South Dakota,Bookcases,3,186,Shipped Late,1,,141.96,0.28169014084507044,,44.1415,-103.2052,2,1,2011
2011-01-27,Office Supplies,Alexandria,United States,Shirley Daniels,0.0,US-2011-155502,22304,"Eureka Recycled Copy Paper 8 1/2 x 11, Ream",9,3,South,19,Home Office,2011-02-01,Standard Class,Virginia,Paper,5,25,Shipped Early,6,,19.44,0.47368421052631576,,38.8149,-77.121,-1,1,2011
2011-01-27,Office Supplies,Alexandria,United States,Shirley Daniels,0.0,US-2011-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11 X 8 1/2, 100 Messages",8,2,South,17,Home Office,2011-02-01,Standard Class,Virginia,Paper,5,22,Shipped Early,6,,16.68,0.47058823529411764,,38.8149,-77.121,-1,1,2011
2011-01-27,Office Supplies,Alexandria,United States,Shirley Daniels,0.0,US-2011-155502,22304,"SAFCO Commercial Wire Shelving, 72h",0,8,South,490,Home Office,2011-02-01,Standard Class,Virginia,Storage,5,642,Shipped Early,6,,489.92,0.0,,38.8149,-77.121,-1,1,2011
2011-01-27,Office Supplies,Rapid City,United States,Carol Adams,0.0,CA-2011-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,5,2,Central,11,Corporate,2011-01-30,First Class,South Dakota,Binders,3,14,Shipped Late,1,,10.68,0.45454545454545453,,44.1415,-103.2052,2,1,2011
2011-01-27,Technology,Alexandria,United States,Shirley Daniels,0.0,US-2011-155502,22304,Jabra SPEAK 410,53,2,South,188,Home Office,2011-02-01,Standard Class,Virginia,Phones,5,246,Shipped Early,6,,187.98,0.28191489361702127,,38.8149,-77.121,-1,1,2011
2011-01-27,Technology,Alexandria,United States,Shirley Daniels,0.0,US-2011-155502,22304,Macally Suction Cup Mount,0,13,South,155,Home Office,2011-02-01,Standard Class,Virginia,Phones,5,204,Shipped Early,6,,155.35,0.0,,38.8149,-77.121,-1,1,2011
2011-01-28,Furniture,San Diego,United States,Ed Jacobs,0.2,US-2011-117163,92037,Balt Split Level Computer Training Table,-17,3,West,333,Consumer,2011-02-03,Standard Class,California,Tables,6,436,Shipped On Time,6,,333.0,-0.05105105105105105,,32.8455,-117.2521,0,1,2011
2011-01-28,Office Supplies,San Diego,United States,Ed Jacobs,0.0,US-2011-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,12,4,West,36,Consumer,2011-02-03,Standard Class,California,Art,6,48,Shipped On Time,6,,36.44,0.3333333333333333,,32.8455,-117.2521,0,1,2011
2011-01-28,Office Supplies,San Diego,United States,Ed Jacobs,0.0,US-2011-117163,92037,Recycled Steel Personal File for Hanging File Folders,14,1,West,57,Consumer,2011-02-03,Standard Class,California,Storage,6,75,Shipped On Time,6,,57.23,0.24561403508771928,,32.8455,-117.2521,0,1,2011
2011-01-29,Office Supplies,New York City,United States,Jasper Cacioppo,0.2,CA-2011-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2 x 11, Light Blue",1,1,East,4,Consumer,2011-02-04,Standard Class,New York,Binders,6,5,Shipped On Time,6,,3.93,0.25,,40.7864,-73.9764,0,1,2011
2011-01-31,Office Supplies,Detroit,United States,Mike Vittorini,0.0,CA-2011-134103,48234,Space Solutions HD Industrial Steel Shelving.,7,2,Central,230,Consumer,2011-02-05,Standard Class,Michigan,Storage,5,301,Shipped Early,6,,229.94,0.030434782608695653,,42.4337,-83.0434,-1,1,2011
2011-01-31,Office Supplies,Detroit,United States,Mike Vittorini,0.0,CA-2011-134103,48234,Xerox 1972,5,2,Central,11,Consumer,2011-02-05,Standard Class,Michigan,Paper,5,14,Shipped Early,6,,10.56,0.45454545454545453,,42.4337,-83.0434,-1,1,2011
2011-02-01,Furniture,Mission Viejo,United States,Liz Carlisle,0.15,CA-2011-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",3,2,West,291,Consumer,2011-02-03,First Class,California,Bookcases,2,381,Shipped Late,1,,290.67,0.010309278350515464,,33.6128,-117.6622,1,2,2011
2011-02-02,Technology,Green Bay,United States,Bradley Drucker,0.0,CA-2011-140795,54302,Enermax Aurora Lite Keyboard,206,6,Central,469,Consumer,2011-02-04,First Class,Wisconsin,Accessories,2,614,Shipped Late,1,,468.9,0.43923240938166314,,44.5025,-87.9771,1,2,2011
2011-02-03,Office Supplies,Saint Petersburg,United States,Eric Barreto,0.7,CA-2011-123400,33710,Surelock Post Binders,-12,2,South,18,Consumer,2011-02-10,Standard Class,Florida,Binders,7,24,Shipped Late,6,,18.34,-0.6666666666666666,,27.7898,-82.7243,1,2,2011
2011-02-03,Office Supplies,San Diego,United States,Cynthia Delaney,0.0,CA-2011-139857,92037,Staples,6,5,West,12,Home Office,2011-02-07,Standard Class,California,Fasteners,4,16,Shipped Early,6,,12.35,0.5,,32.8455,-117.2521,-2,2,2011
2011-02-03,Technology,Saint Petersburg,United States,Eric Barreto,0.2,CA-2011-123400,33710,AT&T 17929 Lendline Telephone,14,5,South,181,Consumer,2011-02-10,Standard Class,Florida,Phones,7,237,Shipped Late,6,,180.96,0.07734806629834254,,27.7898,-82.7243,1,2,2011
2011-02-04,Office Supplies,Seattle,United States,Tom Boeckenhauer,0.2,CA-2011-111059,98105,Avery Durable Poly Binders,4,3,West,13,Consumer,2011-02-07,Second Class,Washington,Binders,3,17,Shipped On Time,3,,13.27,0.3076923076923077,,47.6633,-122.3022,0,2,2011
2011-02-04,Office Supplies,Seattle,United States,Tom Boeckenhauer,0.2,CA-2011-111059,98105,Ibico Laser Imprintable Binding System Covers,27,2,West,84,Consumer,2011-02-07,Second Class,Washington,Binders,3,110,Shipped On Time,3,,83.84,0.32142857142857145,,47.6633,-122.3022,0,2,2011
2011-02-05,Office Supplies,Escondido,United States,Mark Haberlin,0.2,CA-2011-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",6,2,West,17,Corporate,2011-02-09,Second Class,California,Binders,4,23,Shipped Late,3,,17.25,0.35294117647058826,,33.1101,-117.07,1,2,2011
2011-02-05,Office Supplies,San Diego,United States,Deborah Brumfield,0.2,CA-2011-107181,92024,GBC Recycled Grain Textured Covers,29,3,West,83,Home Office,2011-02-09,Standard Class,California,Binders,4,109,Shipped Early,6,,82.9,0.3493975903614458,,33.0535,-117.2689,-2,2,2011
2011-02-05,Office Supplies,San Diego,United States,Deborah Brumfield,0.0,CA-2011-107181,92024,"Message Book, Standard Line While You Were Out, 5 1/2 X 4, 200 Sets/Book",16,4,West,34,Home Office,2011-02-09,Standard Class,California,Paper,4,45,Shipped Early,6,,34.24,0.47058823529411764,,33.0535,-117.2689,-2,2,2011
2011-02-07,Office Supplies,Chesapeake,United States,Neil Ducich,0.0,CA-2011-131905,23320,Avery 480,7,4,South,15,Corporate,2011-02-10,First Class,Virginia,Labels,3,20,Shipped Late,1,,15.0,0.4666666666666667,,36.7352,-76.2384,2,2,2011
2011-02-07,Office Supplies,Romeoville,United States,Delfina Latchford,0.8,CA-2011-108182,60441,"Avery Flip-Chart Easel Binder, Black",-15,2,Central,9,Consumer,2011-02-11,Second Class,Illinois,Binders,4,12,Shipped Late,3,,8.95,-1.6666666666666667,,41.593,-88.0507,1,2,2011
2011-02-07,Technology,Chesapeake,United States,Neil Ducich,0.0,CA-2011-131905,23320,AT&T CL82213,42,5,South,145,Corporate,2011-02-10,First Class,Virginia,Phones,3,190,Shipped Late,1,,144.95,0.2896551724137931,,36.7352,-76.2384,2,2,2011
